primer1,primer2,score
m131,ms21,-2510.8024578462646
m131,ms22,-6880.201144614104
m131,ms23,-2735.7536867678427
m131,m132,-5751.489915692531
m131,m133,-2689.0024578462617
m131,mat1,-3135.0574578493615
m131,mat2,-1765.3762289277838
m132,vac1,-3667.0074578493623
m132,vac2,-2754.6612289277873
m132,vac3,-2705.606228927787
m132,mhv1,-1364.337373532595
m132,mhv2,-2787.3074578462656
m132,mhv3,-2795.6549156894253
m132,t4p1,-4826.16868677095
m132,t4p2,-4709.063686770947
m132,t4p3,-5446.098686770951
m132,lam1,-3258.9862289277808
m132,lam2,-3629.1686867678436
m132,lam3,-3620.4111446110037
m132,phi1,-3747.387289215825
m132,phi2,-3258.9862289277808
m132,phi3,-6099.741144611013
m132,ms21,-4826.16868677095
m132,ms22,-2501.4124578493684
m132,ms23,-3231.993686767848
m132,m131,-5751.489915692531
m132,m133,-2838.3836867709506
m132,mat1,-4663.442457849364
m132,mat2,-2201.2812289277863
m133,vac1,-2814.4488735356936
m133,vac2,-2693.2636867678484
m133,vac3,-2811.367457846267
m133,mhv1,-4568.96491569253
m133,mhv2,-2530.7962289277857
m133,mhv3,-6816.406331375751
m133,t4p1,-2297.612373532589
m133,t4p2,-3076.222457849366
m133,t4p3,-4532.55868677095
m133,lam1,-3339.8836867678474
m133,lam2,-2452.532457846264
m133,lam3,-3697.023686767843
m133,phi1,-2170.138686767841
m133,phi2,-3985.5049156925234
m133,phi3,-4197.67614461411
m133,ms21,-3929.1686867678472
m133,ms22,-5428.559915692531
m133,ms23,-5479.548686767848
m133,m131,-2689.0024578462617
m133,m132,-2838.3836867709506
m133,mat1,-2602.9124578493684
m133,mat2,-2307.042457846266
mat1,vac1,-1979.851228927786
mat1,vac2,-4663.442457849371
mat1,vac3,-3067.898686767847
mat1,mhv1,-2813.062457849366
mat1,mhv2,-2520.3874578462637
mat1,mhv3,-4257.879915689431
mat1,t4p1,-2528.4724578493697
mat1,t4p2,-1979.851228927786
mat1,t4p3,-5143.273686767847
mat1,lam1,-3299.2162289277876
mat1,lam2,-2922.1462289277843
mat1,lam3,-2992.893686767842
mat1,phi1,-3018.2586867678438
mat1,phi2,-4663.442457849371
mat1,phi3,-3470.3336867678445
mat1,ms21,-2528.4724578493697
mat1,ms22,-3391.2624578493633
mat1,ms23,-3060.681228927784
mat1,m131,-3135.057457849369
mat1,m132,-4663.442457849371
mat1,m133,-2602.9124578493684
mat1,mat2,-7528.758602454174
mat2,vac1,-4521.843686770946
mat2,vac2,-2201.2812289277863
mat2,vac3,-2547.272457846262
mat2,mhv1,-2557.4224578493668
mat2,mhv2,-4067.5961446110086
mat2,mhv3,-2273.9624578493676
mat2,t4p1,-1874.961228927783
mat2,t4p2,-2462.117457849363
mat2,t4p3,-1795.8262289277845
mat2,lam1,-3104.412457846265
mat2,lam2,-2328.5362289277837
mat2,lam3,-1902.7174578462618
mat2,phi1,-1775.1562289277863
mat2,phi2,-3100.6524578462668
mat2,phi3,-3163.509915689421
mat2,ms21,-1978.6574578462642
mat2,ms22,-1432.296228927782
mat2,ms23,-3581.7449156894218
mat2,m131,-1765.3762289277838
mat2,m132,-2201.2812289277863
mat2,m133,-2307.042457846266
mat2,mat1,-7528.758602454174
